"","Policy.Number","Age","Age.Band","Avg.Age","Years.of.Driving.Experience","Number.of.Vehicles","Gender","Gender.Dummy","Married","Married.Dummy","Vehicle.Age","Vehicle.Age.Band","Avg.Vehicle.Age","Fuel.Type","Fuel.Type.Dummy","Losses","Count","Capped.Losses","logloss"
"9022",182874,16,"16-25",20.6,0,3,"F",0,"Married",0,14,"11+",12.97,"P",0,383,1,383,5.94803498918065
"14585",126776,24,"16-25",20.6,7,4,"M",1,"Married",0,11,"11+",12.97,"P",0,447,1,447,6.10255859461357
"11720",121497,16,"16-25",20.6,0,3,"M",1,"Single",1,11,"11+",12.97,"D",1,564,1,564,6.33505425149806
"7817",107955,50,"26-59",42.4,32,3,"M",1,"Married",0,12,"11+",12.97,"P",0,344,1,344,5.8406416573734
"1510",149615,65,"60+",65.1,46,1,"F",0,"Married",0,3,"0-5",2.5,"P",0,109,1,109,4.69134788222914
"5606",156326,60,"60+",65.1,42,2,"M",1,"Married",0,6,"6-10",8.02,"P",0,118,1,118,4.77068462446567
"3207",167978,41,"26-59",42.4,23,2,"M",1,"Married",0,2,"0-5",2.5,"P",0,436,1,436,6.07764224334903
"7733",173000,56,"26-59",42.4,38,3,"M",1,"Married",0,5,"0-5",2.5,"P",0,456,1,456,6.12249280951439
"1133",149939,70,"60+",65.1,53,1,"F",0,"Married",0,8,"6-10",8.02,"P",0,63,1,63,4.14313472639153
"1887",125737,61,"60+",65.1,43,1,"F",0,"Single",1,14,"11+",12.97,"P",0,221,1,221,5.39816270151775
"14569",147966,44,"26-59",42.4,27,4,"M",1,"Married",0,6,"6-10",8.02,"P",0,357,1,357,5.87773578177964
"13483",136055,63,"60+",65.1,44,4,"M",1,"Single",1,2,"0-5",2.5,"P",0,147,1,147,4.99043258677874
"11586",103993,50,"26-59",42.4,33,3,"F",0,"Single",1,9,"6-10",8.02,"P",0,377,1,377,5.93224518744801
"7779",133531,17,"16-25",20.6,0,3,"F",0,"Single",1,15,"11+",12.97,"P",0,257,1,257,5.54907608489522
"13319",102484,62,"60+",65.1,41,4,"M",1,"Single",1,11,"11+",12.97,"P",0,145,1,145,4.97673374242057
"5182",182354,32,"26-59",42.4,13,2,"M",1,"Married",0,3,"0-5",2.5,"D",1,576,1,576,6.35610766069589
"2720",105179,69,"60+",65.1,49,2,"M",1,"Married",0,9,"6-10",8.02,"P",0,271,1,271,5.6021188208797
"22",140896,17,"16-25",20.6,0,1,"M",1,"Single",1,15,"11+",12.97,"D",1,877,1,877,6.77650699237218
"15179",130244,51,"26-59",42.4,33,4,"F",0,"Single",1,13,"11+",12.97,"P",0,314,1,314,5.74939298590825
"5992",180823,44,"26-59",42.4,25,2,"F",0,"Married",0,9,"6-10",8.02,"P",0,311,1,311,5.73979291217923
"9844",118157,69,"60+",65.1,52,3,"M",1,"Single",1,7,"6-10",8.02,"P",0,309,1,309,5.73334127689775
"385",184178,21,"16-25",20.6,2,1,"M",1,"Married",0,0,"0-5",2.5,"D",1,544,1,544,6.29894924685594
"3341",107859,39,"26-59",42.4,20,2,"F",0,"Married",0,12,"11+",12.97,"P",0,116,1,116,4.75359019110636
"267",144509,37,"26-59",42.4,20,1,"F",0,"Married",0,14,"11+",12.97,"P",0,259,1,259,5.55682806169954
"1525",114951,39,"26-59",42.4,20,1,"F",0,"Married",0,6,"6-10",8.02,"P",0,327,1,327,5.78996017089725
"2157",105779,47,"26-59",42.4,27,1,"F",0,"Married",0,1,"0-5",2.5,"P",0,491,1,491,6.19644412779452
"8304",156685,61,"60+",65.1,40,3,"F",0,"Single",1,10,"6-10",8.02,"P",0,112,1,112,4.71849887129509
"5899",115945,40,"26-59",42.4,19,2,"F",0,"Married",0,11,"11+",12.97,"P",0,170,1,170,5.13579843705026
"10093",128605,22,"16-25",20.6,5,3,"M",1,"Single",1,2,"0-5",2.5,"D",1,932,1,932,6.83733281468559
"10960",116597,54,"26-59",42.4,37,3,"F",0,"Married",0,10,"6-10",8.02,"P",0,341,1,341,5.83188247728352
"10738",174839,25,"16-25",20.6,7,3,"M",1,"Single",1,8,"6-10",8.02,"D",1,625,1,625,6.4377516497364
"13098",180739,49,"26-59",42.4,30,4,"M",1,"Single",1,6,"6-10",8.02,"P",0,445,1,445,6.09807428216624
"10016",141527,53,"26-59",42.4,32,3,"F",0,"Single",1,13,"11+",12.97,"P",0,138,1,138,4.92725368515721
"8104",193094,43,"26-59",42.4,26,3,"F",0,"Married",0,9,"6-10",8.02,"P",0,339,1,339,5.82600010738045
"11308",160413,50,"26-59",42.4,29,3,"F",0,"Married",0,10,"6-10",8.02,"P",0,319,1,319,5.76519110278484
"234",149434,18,"16-25",20.6,1,1,"F",0,"Single",1,12,"11+",12.97,"P",0,415,1,415,6.0282785202307
"15077",181003,32,"26-59",42.4,12,4,"F",0,"Married",0,13,"11+",12.97,"P",0,140,1,140,4.9416424226093
"12761",112228,50,"26-59",42.4,33,3,"F",0,"Single",1,15,"11+",12.97,"P",0,379,1,379,5.93753620508243
"10786",115606,63,"60+",65.1,45,3,"M",1,"Married",0,15,"11+",12.97,"P",0,74,1,74,4.30406509320417
"206",100313,60,"60+",65.1,39,1,"F",0,"Single",1,10,"6-10",8.02,"P",0,166,1,166,5.11198778835654
"11069",102815,67,"60+",65.1,48,3,"M",1,"Single",1,10,"6-10",8.02,"P",0,77,1,77,4.34380542185368
"12906",195735,17,"16-25",20.6,0,4,"M",1,"Single",1,14,"11+",12.97,"P",0,368,1,368,5.90808293816893
"12416",116022,70,"60+",65.1,52,3,"F",0,"Married",0,8,"6-10",8.02,"P",0,29,1,29,3.36729582998647
"533",181343,23,"16-25",20.6,6,1,"F",0,"Single",1,13,"11+",12.97,"P",0,386,1,386,5.95583736946483
"2236",163654,61,"60+",65.1,41,1,"F",0,"Single",1,8,"6-10",8.02,"P",0,46,1,46,3.8286413964891
"9513",167993,28,"26-59",42.4,9,3,"F",0,"Married",0,10,"6-10",8.02,"P",0,325,1,325,5.78382518232974
"13712",135461,65,"60+",65.1,47,4,"F",0,"Single",1,11,"11+",12.97,"P",0,87,1,87,4.46590811865458
"10262",145282,38,"26-59",42.4,17,3,"M",1,"Married",0,12,"11+",12.97,"P",0,146,1,146,4.98360662170834
"5726",102815,40,"26-59",42.4,19,2,"M",1,"Single",1,0,"0-5",2.5,"D",1,539,1,539,6.289715570909
"10001",118548,50,"26-59",42.4,30,3,"M",1,"Married",0,8,"6-10",8.02,"P",0,380,1,380,5.94017125272043
"9140",152982,52,"26-59",42.4,32,3,"F",0,"Married",0,8,"6-10",8.02,"P",0,362,1,362,5.89164421182577
"14980",145201,31,"26-59",42.4,11,4,"M",1,"Single",1,13,"11+",12.97,"P",0,208,1,208,5.33753807970132
"2827",173290,68,"60+",65.1,50,2,"M",1,"Single",1,10,"6-10",8.02,"P",0,45,1,45,3.80666248977032
"3075",157740,25,"16-25",20.6,7,2,"F",0,"Married",0,6,"6-10",8.02,"P",0,474,1,474,6.16120732169508
"13648",120187,22,"16-25",20.6,4,4,"F",0,"Single",1,7,"6-10",8.02,"D",1,721,1,721,6.58063913728495
"5903",118883,66,"60+",65.1,45,2,"F",0,"Single",1,14,"11+",12.97,"P",0,111,1,111,4.70953020131233
"1879",137024,17,"16-25",20.6,0,1,"M",1,"Married",0,12,"11+",12.97,"D",1,536,1,536,6.2841341610708
"9518",111270,22,"16-25",20.6,3,3,"F",0,"Married",0,6,"6-10",8.02,"P",0,404,1,404,6.00141487796115
"10362",164971,31,"26-59",42.4,10,3,"F",0,"Single",1,4,"0-5",2.5,"D",1,574,1,574,6.35262939631957
"15061",185555,42,"26-59",42.4,21,4,"F",0,"Married",0,4,"0-5",2.5,"D",1,518,1,518,6.24997524225948
"13046",177809,22,"16-25",20.6,5,4,"F",0,"Married",0,9,"6-10",8.02,"D",1,501,1,501,6.21660610108486
"11458",180198,43,"26-59",42.4,25,3,"M",1,"Single",1,2,"0-5",2.5,"P",0,438,1,438,6.08221891037645
"7986",120474,69,"60+",65.1,51,3,"F",0,"Single",1,3,"0-5",2.5,"P",0,182,1,182,5.2040066870768
"1166",121784,20,"16-25",20.6,2,1,"F",0,"Single",1,6,"6-10",8.02,"D",1,577,1,577,6.3578422665081
"8622",197537,16,"16-25",20.6,0,3,"M",1,"Single",1,13,"11+",12.97,"D",1,550,1,550,6.30991827822652
"712",164781,44,"26-59",42.4,27,1,"F",0,"Married",0,8,"6-10",8.02,"P",0,299,1,299,5.70044357339069
"2571",144719,63,"60+",65.1,42,2,"F",0,"Married",0,13,"11+",12.97,"P",0,22,1,22,3.09104245335832
"14378",193692,64,"60+",65.1,44,4,"F",0,"Single",1,13,"11+",12.97,"P",0,239,1,239,5.47646355193151
"846",162109,24,"16-25",20.6,6,1,"M",1,"Married",0,13,"11+",12.97,"P",0,497,1,497,6.20859002609663
"13464",190310,32,"26-59",42.4,12,4,"F",0,"Married",0,6,"6-10",8.02,"P",0,312,1,312,5.74300318780948
"11155",177244,64,"60+",65.1,45,3,"M",1,"Married",0,8,"6-10",8.02,"P",0,239,1,239,5.47646355193151
"11030",141965,61,"60+",65.1,44,3,"M",1,"Married",0,7,"6-10",8.02,"P",0,175,1,175,5.16478597392351
"14129",157156,64,"60+",65.1,45,4,"M",1,"Married",0,10,"6-10",8.02,"P",0,43,1,43,3.76120011569356
"12614",119884,38,"26-59",42.4,20,3,"M",1,"Single",1,0,"0-5",2.5,"D",1,693,1,693,6.5410299991899
"8142",132925,60,"60+",65.1,41,3,"M",1,"Married",0,10,"6-10",8.02,"P",0,116,1,116,4.75359019110636
"12892",118239,44,"26-59",42.4,27,4,"M",1,"Single",1,15,"11+",12.97,"P",0,149,1,149,5.00394630594546
"10455",131925,39,"26-59",42.4,20,3,"M",1,"Single",1,6,"6-10",8.02,"P",0,401,1,401,5.99396142730657
"8557",162032,67,"60+",65.1,48,3,"F",0,"Single",1,11,"11+",12.97,"P",0,77,1,77,4.34380542185368
"9364",145987,17,"16-25",20.6,0,3,"M",1,"Married",0,12,"11+",12.97,"P",0,145,1,145,4.97673374242057
"9915",185713,17,"16-25",20.6,0,3,"M",1,"Single",1,10,"6-10",8.02,"D",1,1226,1,1200,7.11151211649616
"13271",116914,69,"60+",65.1,48,4,"F",0,"Single",1,14,"11+",12.97,"P",0,32,1,32,3.46573590279973
"11922",151556,63,"60+",65.1,42,3,"M",1,"Single",1,9,"6-10",8.02,"P",0,51,1,51,3.93182563272433
"4964",191767,69,"60+",65.1,49,2,"M",1,"Single",1,0,"0-5",2.5,"P",0,139,1,139,4.93447393313069
"15133",175197,42,"26-59",42.4,24,4,"M",1,"Single",1,7,"6-10",8.02,"P",0,465,1,465,6.14203740558736
"6911",194863,22,"16-25",20.6,4,2,"M",1,"Single",1,14,"11+",12.97,"P",0,478,1,478,6.16961073249146
"5763",103303,61,"60+",65.1,42,2,"M",1,"Married",0,5,"0-5",2.5,"P",0,253,1,253,5.53338948872752
"2122",138451,65,"60+",65.1,48,1,"M",1,"Married",0,9,"6-10",8.02,"P",0,120,1,120,4.78749174278205
"12297",155572,65,"60+",65.1,44,3,"M",1,"Single",1,12,"11+",12.97,"P",0,159,1,159,5.06890420222023
"8776",187678,45,"26-59",42.4,27,3,"F",0,"Married",0,9,"6-10",8.02,"P",0,348,1,348,5.85220247977447
"5554",139321,25,"16-25",20.6,6,2,"M",1,"Single",1,2,"0-5",2.5,"D",1,1223,1,1200,7.10906213568717
"8226",113682,18,"16-25",20.6,0,3,"M",1,"Single",1,10,"6-10",8.02,"D",1,1042,1,1042,6.94889722231331
"11505",154299,35,"26-59",42.4,18,3,"M",1,"Married",0,7,"6-10",8.02,"P",0,413,1,413,6.02344759296103
"1903",130537,62,"60+",65.1,42,1,"F",0,"Single",1,2,"0-5",2.5,"P",0,262,1,262,5.5683445037611
"248",149617,46,"26-59",42.4,27,1,"M",1,"Married",0,10,"6-10",8.02,"P",0,393,1,393,5.97380961186926
"12565",124527,32,"26-59",42.4,13,3,"F",0,"Single",1,7,"6-10",8.02,"P",0,383,1,383,5.94803498918065
"8743",103919,24,"16-25",20.6,5,3,"M",1,"Single",1,14,"11+",12.97,"D",1,693,1,693,6.5410299991899
"6948",184004,42,"26-59",42.4,21,2,"M",1,"Married",0,12,"11+",12.97,"P",0,287,1,287,5.65948221575962
"12224",173558,61,"60+",65.1,43,3,"F",0,"Married",0,2,"0-5",2.5,"P",0,159,1,159,5.06890420222023
"2879",119002,23,"16-25",20.6,5,2,"M",1,"Married",0,13,"11+",12.97,"P",0,385,1,385,5.95324333428778
"10542",114137,68,"60+",65.1,49,3,"F",0,"Single",1,9,"6-10",8.02,"P",0,340,1,340,5.82894561761021
"6560",151649,23,"16-25",20.6,6,2,"M",1,"Single",1,14,"11+",12.97,"P",0,455,1,455,6.12029741895095
"2197",130258,54,"26-59",42.4,34,1,"F",0,"Single",1,11,"11+",12.97,"P",0,438,1,438,6.08221891037645
"4558",192539,60,"60+",65.1,40,2,"F",0,"Single",1,5,"0-5",2.5,"P",0,320,1,320,5.76832099579377
"13424",136933,61,"60+",65.1,42,4,"F",0,"Married",0,7,"6-10",8.02,"P",0,231,1,231,5.44241771052179
"13544",118352,17,"16-25",20.6,0,4,"M",1,"Single",1,13,"11+",12.97,"D",1,924,1,924,6.82871207164168
"8425",127043,16,"16-25",20.6,0,3,"F",0,"Single",1,6,"6-10",8.02,"P",0,491,1,491,6.19644412779452
"9712",158526,46,"26-59",42.4,29,3,"M",1,"Married",0,6,"6-10",8.02,"P",0,380,1,380,5.94017125272043
"9044",182730,52,"26-59",42.4,34,3,"M",1,"Married",0,7,"6-10",8.02,"P",0,330,1,330,5.79909265446053
"2961",131504,19,"16-25",20.6,1,2,"M",1,"Married",0,12,"11+",12.97,"D",1,524,1,524,6.26149168432104
"5639",167721,55,"26-59",42.4,36,2,"F",0,"Single",1,14,"11+",12.97,"P",0,352,1,352,5.8636311755981
"10822",165076,40,"26-59",42.4,19,3,"F",0,"Single",1,10,"6-10",8.02,"P",0,480,1,480,6.17378610390194
"13415",147543,20,"16-25",20.6,2,4,"M",1,"Married",0,11,"11+",12.97,"P",0,341,1,341,5.83188247728352
"6265",178213,63,"60+",65.1,44,2,"M",1,"Married",0,8,"6-10",8.02,"P",0,75,1,75,4.31748811353631
"12613",134218,56,"26-59",42.4,39,3,"F",0,"Married",0,14,"11+",12.97,"P",0,159,1,159,5.06890420222023
"5848",152782,63,"60+",65.1,44,2,"F",0,"Single",1,2,"0-5",2.5,"P",0,189,1,189,5.24174701505964
"7908",118810,66,"60+",65.1,46,3,"F",0,"Single",1,6,"6-10",8.02,"P",0,159,1,159,5.06890420222023
"10530",128670,24,"16-25",20.6,5,3,"F",0,"Married",0,7,"6-10",8.02,"P",0,342,1,342,5.8348107370626
"12308",112853,60,"60+",65.1,43,3,"F",0,"Single",1,6,"6-10",8.02,"P",0,320,1,320,5.76832099579377
"1292",190402,63,"60+",65.1,42,1,"F",0,"Single",1,13,"11+",12.97,"P",0,193,1,193,5.26269018890489
"13784",127767,19,"16-25",20.6,1,4,"F",0,"Married",0,14,"11+",12.97,"P",0,258,1,258,5.55295958492162
"1383",148421,27,"26-59",42.4,7,1,"F",0,"Single",1,8,"6-10",8.02,"P",0,319,1,319,5.76519110278484
"9254",161585,60,"60+",65.1,43,3,"F",0,"Single",1,14,"11+",12.97,"P",0,29,1,29,3.36729582998647
"12993",178294,59,"26-59",42.4,38,4,"M",1,"Single",1,9,"6-10",8.02,"D",1,510,1,510,6.23441072571837
"1974",125914,46,"26-59",42.4,29,1,"M",1,"Single",1,4,"0-5",2.5,"D",1,576,1,576,6.35610766069589
"10186",138616,69,"60+",65.1,50,3,"F",0,"Single",1,9,"6-10",8.02,"P",0,259,1,259,5.55682806169954
"8405",198618,60,"60+",65.1,41,3,"M",1,"Single",1,9,"6-10",8.02,"P",0,135,1,135,4.90527477843843
"9370",155453,22,"16-25",20.6,3,3,"F",0,"Single",1,11,"11+",12.97,"P",0,308,1,308,5.73009978297357
"2746",107904,62,"60+",65.1,43,2,"F",0,"Single",1,5,"0-5",2.5,"P",0,286,1,286,5.65599181081985
"6676",124618,70,"60+",65.1,53,2,"M",1,"Single",1,14,"11+",12.97,"P",0,349,1,349,5.85507192220243
"2352",165315,21,"16-25",20.6,4,1,"M",1,"Single",1,14,"11+",12.97,"D",1,518,1,518,6.24997524225948
"3966",129163,25,"16-25",20.6,7,2,"M",1,"Single",1,0,"0-5",2.5,"D",1,2535,1,1200,7.83794891602528
"2033",114514,27,"26-59",42.4,8,1,"M",1,"Single",1,6,"6-10",8.02,"P",0,431,1,431,6.06610809010375
"9776",183622,61,"60+",65.1,43,3,"F",0,"Single",1,4,"0-5",2.5,"P",0,311,1,311,5.73979291217923
"10456",158175,24,"16-25",20.6,5,3,"F",0,"Married",0,14,"11+",12.97,"P",0,274,1,274,5.61312810638807
"2759",161227,62,"60+",65.1,43,2,"F",0,"Single",1,10,"6-10",8.02,"P",0,75,1,75,4.31748811353631
"4099",179314,20,"16-25",20.6,1,2,"M",1,"Married",0,10,"6-10",8.02,"P",0,313,1,313,5.74620319054015
"7772",133471,56,"26-59",42.4,39,3,"F",0,"Married",0,3,"0-5",2.5,"P",0,491,1,491,6.19644412779452
"1675",161127,53,"26-59",42.4,35,1,"M",1,"Single",1,15,"11+",12.97,"P",0,405,1,405,6.00388706710654
"14789",157569,23,"16-25",20.6,6,4,"F",0,"Single",1,13,"11+",12.97,"P",0,391,1,391,5.96870755998537
"3201",146076,58,"26-59",42.4,37,2,"M",1,"Married",0,5,"0-5",2.5,"P",0,486,1,486,6.18620862390049
"3070",124582,35,"26-59",42.4,17,2,"F",0,"Single",1,12,"11+",12.97,"P",0,133,1,133,4.89034912822175
"276",190111,70,"60+",65.1,50,1,"M",1,"Married",0,2,"0-5",2.5,"P",0,302,1,302,5.71042701737487
"5823",144833,55,"26-59",42.4,38,2,"F",0,"Married",0,7,"6-10",8.02,"P",0,292,1,292,5.67675380226828
"12228",100019,57,"26-59",42.4,37,3,"M",1,"Married",0,13,"11+",12.97,"P",0,280,1,280,5.63478960316925
"7549",162743,57,"26-59",42.4,36,2,"F",0,"Married",0,15,"11+",12.97,"P",0,176,1,176,5.17048399503815
"4237",178902,37,"26-59",42.4,18,2,"M",1,"Married",0,9,"6-10",8.02,"P",0,384,1,384,5.95064255258773
"2320",130744,61,"60+",65.1,40,1,"F",0,"Married",0,8,"6-10",8.02,"P",0,276,1,276,5.62040086571715
"1521",157141,47,"26-59",42.4,29,1,"M",1,"Married",0,5,"0-5",2.5,"P",0,467,1,467,6.1463292576689
"6508",193147,69,"60+",65.1,51,2,"M",1,"Married",0,11,"11+",12.97,"P",0,119,1,119,4.77912349311153
"5143",159229,70,"60+",65.1,51,2,"F",0,"Single",1,5,"0-5",2.5,"P",0,281,1,281,5.63835466933375
"9099",173754,70,"60+",65.1,53,3,"M",1,"Married",0,9,"6-10",8.02,"P",0,331,1,331,5.80211837537706
"2880",152242,37,"26-59",42.4,20,2,"F",0,"Single",1,6,"6-10",8.02,"P",0,432,1,432,6.06842558824411
"6832",140122,16,"16-25",20.6,0,2,"M",1,"Single",1,12,"11+",12.97,"D",1,663,1,663,6.49677499018586
"4247",161702,59,"26-59",42.4,40,2,"M",1,"Married",0,6,"6-10",8.02,"P",0,356,1,356,5.87493073085203
"11359",195171,63,"60+",65.1,45,3,"M",1,"Married",0,2,"0-5",2.5,"P",0,53,1,53,3.97029191355212
"4253",104816,70,"60+",65.1,51,2,"M",1,"Single",1,7,"6-10",8.02,"P",0,116,1,116,4.75359019110636
"3646",165032,27,"26-59",42.4,6,2,"M",1,"Married",0,5,"0-5",2.5,"D",1,663,1,663,6.49677499018586
"9250",122103,48,"26-59",42.4,29,3,"M",1,"Single",1,3,"0-5",2.5,"D",1,639,1,639,6.45990445437753
"3046",128587,65,"60+",65.1,45,2,"M",1,"Married",0,10,"6-10",8.02,"P",0,226,1,226,5.42053499927229
"3644",157722,70,"60+",65.1,49,2,"M",1,"Married",0,9,"6-10",8.02,"P",0,64,1,64,4.15888308335967
"6602",182370,41,"26-59",42.4,20,2,"F",0,"Married",0,10,"6-10",8.02,"P",0,330,1,330,5.79909265446053
"6014",193318,23,"16-25",20.6,6,2,"F",0,"Single",1,9,"6-10",8.02,"D",1,554,1,554,6.31716468674728
"5124",177755,62,"60+",65.1,41,2,"F",0,"Single",1,13,"11+",12.97,"P",0,25,1,25,3.2188758248682
"13465",165116,69,"60+",65.1,50,4,"M",1,"Single",1,14,"11+",12.97,"P",0,179,1,179,5.18738580584075
"11452",187115,43,"26-59",42.4,25,3,"M",1,"Single",1,2,"0-5",2.5,"D",1,669,1,669,6.50578406012823
"6712",110555,17,"16-25",20.6,0,2,"M",1,"Married",0,6,"6-10",8.02,"D",1,704,1,704,6.55677835615804
"1365",195601,18,"16-25",20.6,1,1,"F",0,"Single",1,12,"11+",12.97,"D",1,547,1,547,6.30444880242198
"15290",187711,20,"16-25",20.6,2,4,"F",0,"Married",0,2,"0-5",2.5,"P",0,407,1,407,6.00881318544259
"11143",151187,55,"26-59",42.4,36,3,"F",0,"Single",1,8,"6-10",8.02,"D",1,513,1,513,6.24027584517077
"6295",161371,61,"60+",65.1,43,2,"M",1,"Married",0,7,"6-10",8.02,"P",0,324,1,324,5.78074351579233
"3514",121180,53,"26-59",42.4,35,2,"M",1,"Single",1,3,"0-5",2.5,"D",1,849,1,849,6.74405918631135
"10410",176410,62,"60+",65.1,41,3,"M",1,"Single",1,11,"11+",12.97,"P",0,146,1,146,4.98360662170834
"13432",111647,70,"60+",65.1,49,4,"M",1,"Married",0,15,"11+",12.97,"P",0,113,1,113,4.72738781871234
"11435",143119,66,"60+",65.1,48,3,"M",1,"Married",0,6,"6-10",8.02,"P",0,194,1,194,5.26785815906333
"13980",157312,41,"26-59",42.4,20,4,"F",0,"Single",1,11,"11+",12.97,"P",0,280,1,280,5.63478960316925
"13176",187634,61,"60+",65.1,40,4,"F",0,"Married",0,13,"11+",12.97,"P",0,203,1,203,5.31320597904179
"6652",147883,38,"26-59",42.4,18,2,"F",0,"Married",0,10,"6-10",8.02,"P",0,345,1,345,5.84354441703136
"3923",117644,64,"60+",65.1,43,2,"M",1,"Single",1,11,"11+",12.97,"P",0,384,1,384,5.95064255258773
"10909",154282,25,"16-25",20.6,6,3,"M",1,"Single",1,8,"6-10",8.02,"D",1,960,1,960,6.86693328446188
"3038",124003,20,"16-25",20.6,1,2,"F",0,"Married",0,11,"11+",12.97,"P",0,197,1,197,5.28320372873799
"6835",174811,60,"60+",65.1,40,2,"F",0,"Married",0,9,"6-10",8.02,"P",0,143,1,143,4.96284463025991
"9049",114172,68,"60+",65.1,48,3,"M",1,"Single",1,4,"0-5",2.5,"P",0,481,1,481,6.17586727010576
"6530",158417,28,"26-59",42.4,8,2,"F",0,"Single",1,3,"0-5",2.5,"D",1,666,1,666,6.50128967054039
"5999",143131,20,"16-25",20.6,1,2,"M",1,"Single",1,12,"11+",12.97,"D",1,887,1,887,6.78784498230958
"1536",120211,63,"60+",65.1,43,1,"M",1,"Married",0,9,"6-10",8.02,"P",0,175,1,175,5.16478597392351
"2342",152524,18,"16-25",20.6,1,1,"M",1,"Single",1,13,"11+",12.97,"P",0,455,1,455,6.12029741895095
"1607",174995,45,"26-59",42.4,25,1,"M",1,"Single",1,0,"0-5",2.5,"D",1,733,1,733,6.59714570188665
"6890",173739,62,"60+",65.1,43,2,"M",1,"Married",0,10,"6-10",8.02,"P",0,247,1,247,5.50938833662798
"260",101870,46,"26-59",42.4,27,1,"M",1,"Married",0,10,"6-10",8.02,"P",0,356,1,356,5.87493073085203
"6176",197209,54,"26-59",42.4,36,2,"M",1,"Single",1,12,"11+",12.97,"P",0,482,1,482,6.1779441140506
"11977",171701,59,"26-59",42.4,39,3,"M",1,"Single",1,8,"6-10",8.02,"P",0,422,1,422,6.04500531403601
"6202",183861,60,"60+",65.1,40,2,"F",0,"Married",0,1,"0-5",2.5,"P",0,495,1,495,6.20455776256869
"3602",176019,44,"26-59",42.4,26,2,"M",1,"Single",1,13,"11+",12.97,"P",0,266,1,266,5.5834963087817
"3114",151674,30,"26-59",42.4,13,2,"M",1,"Married",0,9,"6-10",8.02,"P",0,417,1,417,6.0330862217988
"10687",119216,32,"26-59",42.4,11,3,"F",0,"Married",0,7,"6-10",8.02,"P",0,331,1,331,5.80211837537706
"6227",110502,66,"60+",65.1,48,2,"F",0,"Single",1,0,"0-5",2.5,"D",1,653,1,653,6.48157712927643
"5387",114256,49,"26-59",42.4,31,2,"F",0,"Single",1,15,"11+",12.97,"P",0,208,1,208,5.33753807970132
"4114",117778,39,"26-59",42.4,18,2,"M",1,"Single",1,15,"11+",12.97,"P",0,408,1,408,6.01126717440416
"384",192894,60,"60+",65.1,39,1,"F",0,"Single",1,10,"6-10",8.02,"P",0,188,1,188,5.23644196282995
"288",162203,24,"16-25",20.6,5,1,"M",1,"Single",1,15,"11+",12.97,"P",0,311,1,311,5.73979291217923
"542",117642,63,"60+",65.1,42,1,"M",1,"Single",1,13,"11+",12.97,"P",0,96,1,96,4.56434819146784
"11833",139408,34,"26-59",42.4,17,3,"F",0,"Single",1,13,"11+",12.97,"P",0,239,1,239,5.47646355193151
"10057",163649,63,"60+",65.1,44,3,"F",0,"Married",0,10,"6-10",8.02,"P",0,165,1,165,5.10594547390058
"3060",101507,68,"60+",65.1,48,2,"M",1,"Single",1,9,"6-10",8.02,"P",0,157,1,157,5.05624580534831
"4066",166909,47,"26-59",42.4,29,2,"M",1,"Single",1,10,"6-10",8.02,"P",0,457,1,457,6.12468339089421
"13964",138756,41,"26-59",42.4,20,4,"F",0,"Single",1,11,"11+",12.97,"P",0,268,1,268,5.59098698051086
"1918",130222,59,"26-59",42.4,38,1,"F",0,"Married",0,15,"11+",12.97,"P",0,158,1,158,5.06259503302697
"9574",187949,38,"26-59",42.4,17,3,"F",0,"Single",1,1,"0-5",2.5,"D",1,683,1,683,6.52649485957079
"12806",132643,36,"26-59",42.4,19,4,"M",1,"Single",1,3,"0-5",2.5,"D",1,827,1,827,6.71780469502369
"6380",123343,24,"16-25",20.6,5,2,"F",0,"Married",0,14,"11+",12.97,"P",0,255,1,255,5.54126354515843
"11958",173041,46,"26-59",42.4,26,3,"M",1,"Single",1,9,"6-10",8.02,"P",0,472,1,472,6.15697898558556
"10730",187352,63,"60+",65.1,44,3,"M",1,"Married",0,7,"6-10",8.02,"P",0,162,1,162,5.08759633523238
"911",152108,33,"26-59",42.4,16,1,"M",1,"Single",1,14,"11+",12.97,"P",0,398,1,398,5.98645200528444
"11200",135709,38,"26-59",42.4,17,3,"F",0,"Married",0,1,"0-5",2.5,"P",0,364,1,364,5.89715386763674
"14610",175145,37,"26-59",42.4,16,4,"F",0,"Single",1,9,"6-10",8.02,"P",0,443,1,443,6.09356977004514
"3383",139589,19,"16-25",20.6,2,2,"M",1,"Single",1,11,"11+",12.97,"D",1,755,1,755,6.62671774924902
"4135",162680,21,"16-25",20.6,2,2,"F",0,"Married",0,12,"11+",12.97,"P",0,293,1,293,5.68017260901707
"615",127337,29,"26-59",42.4,8,1,"F",0,"Single",1,2,"0-5",2.5,"D",1,603,1,603,6.40191719672719
"12967",139293,63,"60+",65.1,45,4,"M",1,"Married",0,9,"6-10",8.02,"P",0,299,1,299,5.70044357339069
"7361",132110,23,"16-25",20.6,4,2,"M",1,"Single",1,15,"11+",12.97,"D",1,820,1,820,6.7093043402583
"10881",141656,37,"26-59",42.4,16,3,"F",0,"Single",1,6,"6-10",8.02,"P",0,471,1,471,6.15485809401642
"2686",128728,25,"16-25",20.6,6,2,"M",1,"Single",1,3,"0-5",2.5,"D",1,1096,1,1096,6.99942246750796
